Bo Du Lieu,time,Co Sac,Khong Sac
No.0,0.035675048828125,24608.914933631248,9045.0195950851
No.1,0.03586602210998535,24608.900840628256,9045.0195950851
No.2,0.03728008270263672,24608.88745919065,9045.0195950851
No.3,0.039129018783569336,24608.880164809194,9045.0195950851
No.4,0.03955817222595215,24608.873051862076,9045.0195950851
