time,numNode
3955.263157894736,0
7590.90909090909,2
7828.124999999998,3
8080.645161290321,4
8491.525423728812,5
9109.090909090906,6
9823.529411764703,7
10019.999999999998,8
10224.489795918365,10
11928.571428571426,11
12248.331655577156,12
12846.153846153844,13
12928.333802447487,14
13655.132094376111,15
14314.28571428571,17
14735.294117647056,19
15289.92264116136,20
15656.249999999996,21
16161.290322580646,24
16170.259073898129,25
16700.0,26
17273.573440521835,27
17275.862068965514,29
17892.857142857138,32
19269.230769230762,34
19299.367230001353,35
20039.999999999996,37
20283.29068522358,38
20874.999999999993,39
21091.58026249678,40
21782.608695652165,42
22772.72727272726,46
23857.142857142844,46
24040.14527153818,51
25049.99999999999,56
26368.42105263157,59
26471.40662723052,60
27833.333333333314,62
28129.73393409044,63
29470.588235294083,67
29816.808042302044,68
31312.499999999996,68
31690.167259639144,73
33399.999999999985,78
33892.855762652645,79
35785.714285714275,85
36220.82667438271,86
38538.4615384615,90
39052.69246151321,91
41749.99999999997,96
42676.0302430425,97
45545.454545454515,106
